33979-03-2 Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl
7786-34-7 COC(=O)\C=C(/C)\OP(=O)(OC)OC
83-32-9 C1Cc2cccc3cccc1c23
145-73-3 [O-]C(=O)C1C2CCC(O2)C1C(=O)[O-]
85-01-8 c1ccc2c(c1)ccc3ccccc23
13684-63-4 COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
67-56-1 CO
330-54-1 CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
106-32-1 CCCCCCCC(=O)OCC
17924-92-4 C[C@H]1CCCC(=O)CCC\C=C\c2cc(O)cc(O)c2C(=O)O1
108-95-2 Oc1ccccc1
2385-85-5 ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C(Cl)(C1(Cl)C35Cl)C24Cl
586-78-7 [O-][N+](=O)c1ccc(Br)cc1
1763-23-1 [O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
110-86-1 c1ccncc1
98-16-8 Nc1cccc(c1)C(F)(F)F
88-99-3 [O-]C(=O)c1ccccc1C(=O)[O-]
64-19-7 CC(=O)[O-]
115-28-6 [O-]C(=O)C1C(C(=O)[O-])C2(Cl)C(=C(Cl)C1(Cl)C2(Cl)Cl)Cl
101-61-1 CN(C)c1ccc(Cc2ccc(cc2)N(C)C)cc1
23564-05-8 COC(=O)NC(=S)[NH2+]c1ccccc1[NH2+]C(=S)NC(=O)OC
150-13-0 Nc1ccc(cc1)C(=O)[O-]
15299-99-7 CCN(CC)C(=O)C(C)Oc1cccc2ccccc12
6515-38-4 Oc1nc(Cl)c(Cl)cc1Cl
260-94-6 c1ccc2nc3ccccc3cc2c1
55335-06-3 [O-]C(=O)COc1nc(Cl)c(Cl)cc1Cl
626-43-7 Nc1cc(Cl)cc(Cl)c1
57-13-6 NC(=O)N
12122-67-7 [S-]C(=S)NCCNC(=S)[S-]
4780-79-4 OCc1cccc2ccccc12
12771-68-5 COc1ccc(cc1)C(O)(C2CC2)c3cncnc3
540-49-8 Br\C=C\Br
609-66-5 NC(=O)c1ccccc1Cl
111-70-6 CCCCCCCO
84-66-2 CCOC(=O)c1ccccc1C(=O)OCC
1918-13-4 NC(=S)c1c(Cl)cccc1Cl
24691-80-3 Cc1occc1C(=O)Nc2ccccc2
2597-03-7 CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1
619-55-6 Cc1ccc(cc1)C(=O)N
2439-01-2 Cc1ccc2nc3SC(=O)Sc3nc2c1
93-89-0 CCOC(=O)c1ccccc1
101-84-8 O(c1ccccc1)c2ccccc2
90-94-8 CN(C)c1ccc(cc1)C(=O)c2ccc(cc2)N(C)C
13114-87-9 NC(=O)Nc1cccc(c1)C(F)(F)F
