1116-76-3 CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC
74-96-4 CCBr
40677-77-8 CCCCCCCC\C=C/CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC\C=C/CCCCCCCC
13116-53-5 ClCC(Cl)(Cl)CCl
311-89-7 FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
583-78-8 Oc1cc(Cl)ccc1Cl
142-22-3 C=CCOC(=O)OCCOCCOC(=O)OCC=C
526-75-0 Cc1cccc(O)c1C
142-08-5 [O-]c1ccccn1
80-09-1 [O-]c1ccc(cc1)S(=O)(=O)c2ccc([O-])cc2
92-66-0 Brc1ccc(cc1)c2ccccc2
111-92-2 CCCC[NH2+]CCCC
62-53-3 Nc1ccccc1
622-24-2 ClCCc1ccccc1
150-78-7 COc1ccc(OC)cc1
28652-72-4 Cc1ccccc1c2ccccc2
36355-01-8 Brc1ccc(c(Br)c1Br)c2ccc(Br)c(Br)c2Br
120-78-5 S(Sc1nc2ccccc2s1)c3nc4ccccc4s3
629-73-2 CCCCCCCCCCCCCCC=C
13654-09-6 Brc1c(Br)c(Br)c(c(Br)c1Br)c2c(Br)c(Br)c(Br)c(Br)c2Br
3209-22-1 [O-][N+](=O)c1cccc(Cl)c1Cl
40766-31-2 CC(c1ccccc1)c2cccc(C)c2C
623-91-6 CCOC(=O)\C=C\C(=O)OCC
462-08-8 Nc1cccnc1
80-62-6 COC(=O)C(=C)C
89-98-5 Clc1ccccc1C=O
108-60-1 CC(CCl)OC(C)CCl
645-62-5 CCCC=C(CC)C=O
93-09-4 [O-]C(=O)c1ccc2ccccc2c1
90-12-0 Cc1cccc2ccccc12
555-03-3 COc1cccc(c1)[N+](=O)[O-]
150-19-6 COc1cccc(O)c1
108-42-9 Nc1cccc(Cl)c1
657-24-9 CN(C)C(=[NH2+])N=C(N)N
111-26-2 CCCCCC[NH3+]
78-59-1 CC1=CC(=O)CC(C)(C)C1
83-38-5 Clc1cccc(Cl)c1C=O
6358-85-6 CC(=O)C(N=Nc1ccc(cc1Cl)c2ccc(N=NC(C(=O)C)C(=O)Nc3ccccc3)c(Cl)c2)C(=O)Nc4ccccc4
1454-85-9 CCCCCCCCCCCCCCCCCO
5333-84-6 CC1C=CCC2C1C(=O)OC2=O
56-84-8 [NH3+]C(CC(=O)[O-])C(=O)[O-]
95-55-6 Nc1ccccc1O
