92-85-3 S1c2ccccc2Sc3ccccc13
68085-85-8 CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
98-84-0 CC([NH3+])c1ccccc1
2691-41-0 [O-][N+](=O)N1CN(CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
877-10-1 Cc1c(Cl)c(Cl)c(C)c(Cl)c1Cl
119-64-2 C1CCc2ccccc2C1
111-41-1 NCC[NH2+]CCO
86-87-3 [O-]C(=O)Cc1cccc2ccccc12
2042-14-0 Cc1ccc(O)cc1[N+](=O)[O-]
556-67-2 C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
55-38-9 COP(=S)(OC)Oc1ccc(SC)c(C)c1
121-69-7 CN(C)c1ccccc1
76-01-7 ClC(Cl)C(Cl)(Cl)Cl
96-91-3 Nc1cc(cc(c1[O-])[N+](=O)[O-])[N+](=O)[O-]
108-43-0 Oc1cccc(Cl)c1
626-67-5 C[NH+]1CCCCC1
103-44-6 CCCCC(CC)COC=C
50-29-3 Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
461-58-5 NC(=[NH2+])NC#N
78-30-8 Cc1ccccc1OP(=O)(Oc2ccccc2C)Oc3ccccc3C
110-98-5 CC(O)COCC(C)O
95-74-9 Cc1ccc(N)cc1Cl
615-74-7 Cc1ccc(Cl)c(O)c1
14233-37-5 CC(C)Nc1ccc(NC(C)C)c2C(=O)c3ccccc3C(=O)c12
298-07-7 CCCCC(CC)COP(=O)([O-])OCC(CC)CCCC
2058-94-8 [O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
51630-58-1 CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3
72-55-9 ClC(=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2)Cl
606-28-0 COC(=O)c1ccccc1C(=O)c2ccccc2
10605-21-7 COC(=O)Nc1nc2ccccc2[nH]1
126-33-0 O=S1(=O)CCCC1
61-82-5 Nc1nc[nH]n1
333-41-5 CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
76-44-8 ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
126-72-7 BrCC(Br)COP(=O)(OCC(Br)CBr)OCC(Br)CBr
92-83-1 C1c2ccccc2Oc3ccccc13
612-22-6 CCc1ccccc1[N+](=O)[O-]
22224-92-6 CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1
26087-47-8 CC(C)OP(=O)(OC(C)C)SCc1ccccc1
355-46-4 [O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
95-15-8 c1ccc2sccc2c1
789-02-6 Clc1ccc(cc1)C(c2ccccc2Cl)C(Cl)(Cl)Cl
95-16-9 c1ccc2scnc2c1
50375-10-5 COc1c(Cl)ccc(Cl)c1Cl
19044-88-3 CCC[NH+](CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)[NH-])[N+](=O)[O-]
117-18-0 [O-][N+](=O)c1c(Cl)c(Cl)cc(Cl)c1Cl
57837-19-1 COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C
920-66-1 OC(C(F)(F)F)C(F)(F)F
122-34-9 CCNc1nc(Cl)nc(NCC)n1
95-80-7 Cc1ccc(N)cc1N
