CAS-Number,X%,EHOMO,Mor29u,NdsCH,GATS1e,X3A,1/T,SdsCH,nR=Cp,F02[F-Br],RDF015m,BIC1,SpMin8_Bh(p),NssssC
000106-99-0,0,-0.24321,-0.094,2,1.25,0.5,0.003663 ,3.278,2,0,0.969,0.396,0,0
000106-99-0,0,-0.24321,-0.094,2,1.25,0.5,0.002833 ,3.278,2,0,0.969,0.396,0,0
000107-00-6,0,-0.27408,-0.151,0,1.25,0.5,0.003356 ,0,0,0,1.718,0.625,0,0
000107-07-3,11.1,-0.29967,-0.147,0,0.921,0.5,0.003356 ,0,0,0,1.75,0.76,0,0
000107-18-6,0,-0.27075,-0.08,1,1.07,0.5,0.003356 ,1.431,1,0,1.905,0.797,0,0
000107-21-1,0,-0.28621,-0.035,0,1.165,0.5,0.003356 ,0,0,0,2.532,0.606,0,0
000107-40-4,0,-0.23754,-0.85,1,1.5,0.204,0.003356 ,2.271,0,0,5.408,0.406,0,1
000107-87-9,0,-0.25631,-0.591,0,0.515,0.289,0.001047 ,0,0,0,3.75,0.481,0,0
000107-87-9,0,-0.25631,-0.591,0,0.515,0.289,0.000889 ,0,0,0,3.75,0.481,0,0
000107-92-6,0,-0.29185,-0.348,0,0.809,0.289,0.003356 ,0,0,0,3,0.631,0,0
000108-05-4,0,-0.26468,-0.174,1,0.753,0.289,0.003401 ,1.1,1,0,1.655,0.755,0,0
000108-10-1,0,-0.25635,-0.571,0,0.526,0.236,0.003356 ,0,0,0,4.57,0.442,0,0
000108-31-6,0,-0.31591,0.036,2,0.79,0.217,0.003356 ,2.171,0,0,2.888,0.636,0,0
000108-68-9,0,-0.22685,-0.115,0,0.985,0.201,0.003356 ,0,0,0,4.291,0.61,0,0
000108-90-7,8.3,-0.25749,-0.005,0,0.459,0.237,0.003356 ,0,0,0,1.927,0.422,0,0
000108-90-7,8.3,-0.25749,-0.005,0,0.459,0.237,0.001835 ,0,0,0,1.927,0.422,0,0
000108-94-1,0,-0.24877,-0.55,0,0.484,0.237,0.003356 ,0,0,0,5.358,0.416,0,0
000109-60-4,0,-0.28225,-0.577,0,0.717,0.284,0.003356 ,0,0,0,4.022,0.522,0,0
000109-66-0,0,-0.3195,-0.775,0,1.7,0.354,0.002941 ,0,0,0,3.599,0.29,0,0
000109-66-0,0,-0.3195,-0.775,0,1.7,0.354,0.001192 ,0,0,0,3.599,0.29,0,0
000109-66-0,0,-0.3195,-0.775,0,1.7,0.354,0.001071 ,0,0,0,3.599,0.29,0,0
000109-66-0,0,-0.3195,-0.775,0,1.7,0.354,0.001004 ,0,0,0,3.599,0.29,0,0
000109-66-0,0,-0.3195,-0.775,0,1.7,0.354,0.000863 ,0,0,0,3.599,0.29,0,0
000109-66-0,0,-0.3195,-0.775,0,1.7,0.354,0.000822 ,0,0,0,3.599,0.29,0,0
000109-69-3,7.1,-0.29663,-0.507,0,0.525,0.354,0.003356 ,0,0,0,2.742,0.44,0,0
000109-94-4,0,-0.29446,-0.211,1,0.756,0.354,0.003356 ,0.431,0,0,2.073,0.695,0,0
000110-01-0,0,-0.21853,-0.541,0,0.841,0.25,0.003356 ,0,0,0,2.702,0.418,0,0
000110-43-0,0,-0.25304,-0.851,0,0.538,0.277,0.003356 ,0,0,0,5.465,0.408,0,0
000110-54-3,0,-0.31304,-0.893,0,1.667,0.319,0.002941 ,0,0,0,4.496,0.272,0,0
000110-54-3,0,-0.31304,-0.893,0,1.667,0.319,0.001145 ,0,0,0,4.496,0.272,0,0
000110-54-3,0,-0.31304,-0.893,0,1.667,0.319,0.001073 ,0,0,0,4.496,0.272,0,0
000110-54-3,0,-0.31304,-0.893,0,1.667,0.319,0.000907 ,0,0,0,4.496,0.272,0,0
000110-54-3,0,-0.31304,-0.893,0,1.667,0.319,0.000840 ,0,0,0,4.496,0.272,0,0
000110-54-3,0,-0.31304,-0.893,0,1.667,0.319,0.000770 ,0,0,0,4.496,0.272,0,0
000110-82-7,0,-0.29925,-0.765,0,1.417,0.25,0.003356 ,0,0,0,5.271,0.22,0,0
000110-82-7,0,-0.29925,-0.765,0,1.417,0.25,0.002667 ,0,0,0,5.271,0.22,0,0
000110-93-0,0,-0.23813,-0.692,1,0.536,0.26,0.003356 ,2.085,0,0,5.865,0.466,0,0
000111-30-8,0,-0.27006,-0.299,2,0.505,0.302,0.003356 ,1.646,0,0,3.705,0.585,0,0
000111-65-9,0,-0.30505,-1.146,0,1.625,0.291,0.003356 ,0,0,0,6.29,0.246,0.368,0
000111-84-2,0,-0.30216,-1.24,0,1.611,0.285,0.003356 ,0,0,0,7.186,0.235,0.44,0
