CAS #,X1sol/T,Mor13v/T,H050/T,R5v/T,TO..Cl/T,HATS5v/T,RDF035m/T,RCl/T,nCOOR/T,Mor15u/T,RDF90m/T,1/T
150224-19-4,0.026136469,-0.00100263,0,0.000597246,0,0.002150704,0.000977874,0.00442519,0,0.000454897,0,0.003094538
150224-25-2,0.028385041,-0.001110179,0,0.00042596,0,0.00117726,0.000952541,0.004796244,0,0.000623847,0,0.003354016
150224-25-2,0.02886918,-0.001129115,0,0.000433225,0,0.001197339,0.000968787,0.004878049,0,0.000634487,0,0.003411223
150224-25-2,0.027916873,-0.001091869,0,0.000418935,0,0.001157843,0.00093683,0.004717137,0,0.000613558,0,0.003298697
150224-25-2,0.027025387,-0.001057001,0,0.000405556,0,0.001120869,0.000906914,0.004566502,0,0.000593965,0,0.003193358
150224-25-2,0.026189076,-0.001024292,0,0.000393006,0,0.001086183,0.000878849,0.00442519,0,0.000575584,0,0.003094538
000095-94-3,0.019332551,-0.000154285,0,0.000171055,0,0.000627201,0.000593661,0.004695623,0,-0.000838504,0,0.003354016
000095-94-3,0.021903857,-0.000174805,0,0.000193806,0,0.000710621,0.00067262,0.00532016,0,-0.000950029,0,0.003800114
000095-94-3,0.021101959,-0.000168406,0,0.000186711,0,0.000684606,0.000647996,0.005125389,0,-0.000915248,0,0.003660992
000095-94-3,0.020356701,-0.000162458,0,0.000180117,0,0.000660427,0.00062511,0.004944376,0,-0.000882924,0,0.003531697
000095-94-3,0.019662289,-0.000156916,0,0.000173972,0,0.000637899,0.000603786,0.004775712,0,-0.000852806,0,0.003411223
006733-54-6,0.026040584,-0.001324836,0,0.000553413,0,0.001774275,0.001214154,0.004796244,0,0.00047627,0,0.003354016
006733-54-6,0.026484735,-0.001347433,0,0.000562852,0,0.001804537,0.001234863,0.004878049,0,0.000484394,0,0.003411223
006733-54-6,0.025611084,-0.001302985,0,0.000544285,0,0.001745011,0.001194128,0.004717137,0,0.000468415,0,0.003298697
006733-54-6,0.02479323,-0.001261376,0,0.000526904,0,0.001689286,0.001155996,0.004566502,0,0.000453457,0,0.003193358
006733-54-6,0.024025994,-0.001222343,0,0.000510599,0,0.001637011,0.001120223,0.00442519,0,0.000439424,0,0.003094538
150224-22-9,0.028328023,-0.001093409,0,0.00044273,0,0.001110179,0.001103471,0.004796244,0,0.000432668,0,0.003354016
150224-22-9,0.029828713,-0.001151333,0,0.000466184,0,0.001168992,0.001161928,0.005050327,0,0.000455589,0,0.003531697
150224-22-9,0.028811189,-0.001112059,0,0.000450281,0,0.001129115,0.001122292,0.004878049,0,0.000440048,0,0.003411223
150224-22-9,0.027860795,-0.001075375,0,0.000435428,0,0.001091869,0.001085271,0.004717137,0,0.000425532,0,0.003298697
150224-22-9,0.0269711,-0.001041035,0,0.000421523,0,0.001057001,0.001050615,0.004566502,0,0.000411943,0,0.003193358
150224-22-9,0.026136469,-0.001008819,0,0.000408479,0,0.001024292,0.001018103,0.00442519,0,0.000399195,0,0.003094538
051570-45-7,0.025983565,-0.001214154,0,0.000597015,0,0.002059366,0.001391917,0.004796244,0,0.000389066,0,0.003354016
051570-45-7,0.027360057,-0.001278474,0,0.000628642,0,0.002168462,0.001465654,0.005050327,0,0.000409677,0,0.003531697
051570-45-7,0.026426744,-0.001234863,0,0.000607198,0,0.002094491,0.001415658,0.004878049,0,0.000395702,0,0.003411223
051570-45-7,0.025555006,-0.001194128,0,0.000587168,0,0.0020254,0.001368959,0.004717137,0,0.000382649,0,0.003298697
051570-45-7,0.024738943,-0.001155996,0,0.000568418,0,0.001960722,0.001325243,0.004566502,0,0.00037043,0,0.003193358
