CAS,nN,nHM,O%,MATS1e,GATS1p,GATS7p,GGI1,GGI2,nCq,nCrt,C-040,H-048,H-051,O-059
000106-87-6,0,0,10,0,1.184,0.029,2.5,1.333,0,1,0,0,4,0
000078-59-1,0,0,4.2,0,1.276,0,4.5,1.111,1,0,0,0,2,0
019438-60-9,0,0,12.5,-0.01,1.288,0.03,3,1.778,0,3,2,0,2,0
000102-36-3,1,2,7.1,-0.041,0.646,3.017,2.5,1.333,0,0,1,0,0,0
000644-97-3,0,3,0,-0.261,0.684,0,1.5,0.889,0,0,0,0,0,0
026967-76-0,0,1,6.2,-0.182,1.458,0.294,7.5,4,0,0,0,0,0,0
000122-14-5,1,2,17.2,-0.041,1.291,1.03,5.5,2.444,0,0,0,0,0,2
002104-64-5,1,2,11.4,0.059,1.054,0.877,5,2.889,0,0,0,0,0,1
000367-11-3,0,0,0,0,0.915,0,1.5,1.111,0,0,0,0,0,0
000782-74-1,2,2,0,0.002,0.632,1.053,2.5,2,0,0,0,0,0,0
052184-14-2,3,0,5.9,0.226,1.097,1.259,8.5,4.222,2,0,0,0,0,0
036483-60-0,0,6,4.3,-0.054,0.493,1.461,4,3.333,0,0,0,0,0,0
000087-86-5,0,5,7.7,-0.222,0.281,0,3,2.667,0,0,0,0,0,0
019715-19-6,0,0,7.5,-0.084,1.192,1.15,7.5,3.333,2,0,1,0,0,0
000306-98-9,0,0,0,0,1.437,0,12,9.333,0,2,0,0,0,0
000088-98-2,0,0,18.2,-0.136,1.109,0,2.5,1.556,0,2,2,0,2,0
014816-18-3,2,2,8.8,-0.109,1.275,1.01,4,2.222,0,0,1,0,0,2
000124-11-8,0,0,0,-0.077,1.5,0.867,0.5,0.222,0,0,0,0,0,0
000118-82-1,0,0,2.7,-0.065,1.203,1.091,13.5,5.333,4,0,0,0,0,0
000101-77-9,2,0,0,-0.279,0.785,0.905,3.5,1.333,0,0,0,0,0,0
000101-81-5,0,0,0,0.036,0.888,1.099,1.5,0.444,0,0,0,0,0,0
000070-30-4,0,6,7.4,-0.146,0.409,1.048,5.5,4,0,0,0,0,0,0
006864-37-5,2,0,0,-0.151,1.31,1.122,4.5,2.222,0,4,0,0,0,0
028768-32-3,2,0,6.6,0.006,1.242,1.02,6.5,2.889,0,0,0,0,0,4
000599-64-4,0,0,3.1,-0.081,0.942,0.854,4,2.667,1,0,0,0,0,0
000131-56-6,0,0,11.5,-0.132,0.776,1.093,3,2,0,0,0,0,0,0
000510-15-6,0,2,8.6,-0.062,0.822,1.161,5.5,3.778,0,0,1,0,0,0
000079-94-7,0,4,6.1,-0.136,0.485,1.305,7,4.444,1,0,0,0,0,0
010081-67-1,1,0,0,0.014,0.95,0.822,7.5,4.889,2,0,0,0,0,0
000076-93-7,0,0,10.3,-0.119,0.832,0.911,3.5,2.667,0,0,1,0,0,0
000066-81-9,1,0,9.3,-0.056,1.276,0.825,6,2.222,0,4,2,0,6,0
013358-11-7,1,0,3.3,0.021,1.313,0.964,7,4.667,2,2,2,0,2,0
000134-32-7,1,0,0,-0.24,0.731,0,1.5,1.333,0,0,0,0,0,0
000479-27-6,2,0,0,-0.344,0.669,0,2,1.556,0,0,0,0,0,0
000135-88-6,1,0,0,-0.035,0.812,1.139,2.5,1.111,0,0,0,0,0,0
000093-46-9,2,0,0,-0.054,0.787,0.93,5,2.222,0,0,0,0,0,0
000130-15-4,0,0,11.1,0.001,0.803,0,2,1.778,0,0,0,0,0,0
