CAS No.,nN,ATSC8v,SpMaxA_G/D,Mor16u,nROH,O-058,P-117,MLOGP2,Molecular Polarizability
026389-78-6,3.000 ,3.520 ,0.962 ,-0.498 ,0.000 ,0.000 ,0.000 ,12.577 ,275.400 
026644-46-2,4.000 ,3.439 ,0.977 ,-0.988 ,0.000 ,2.000 ,0.000 ,1.970 ,312.940 
026718-65-0,0.000 ,3.106 ,0.949 ,-0.030 ,0.000 ,2.000 ,1.000 ,0.570 ,163.190 
026934-87-2,0.000 ,20.384 ,0.929 ,-0.198 ,2.000 ,2.000 ,0.000 ,1.396 ,363.110 
027355-22-2,0.000 ,0.000 ,1.132 ,-0.023 ,0.000 ,1.000 ,0.000 ,13.240 ,204.760 
027554-26-3,0.000 ,14.375 ,0.829 ,0.923 ,0.000 ,2.000 ,0.000 ,29.446 ,391.020 
028170-54-9,2.000 ,2.581 ,0.978 ,0.120 ,0.000 ,1.000 ,0.000 ,1.635 ,195.060 
028540-82-1,4.000 ,22.361 ,0.918 ,0.475 ,0.000 ,4.000 ,0.000 ,0.586 ,417.850 
029091-05-2,4.000 ,2.551 ,0.949 ,0.125 ,0.000 ,0.000 ,0.000 ,8.592 ,280.000 
029091-21-2,4.000 ,6.389 ,0.935 ,0.619 ,0.000 ,0.000 ,0.000 ,11.962 ,318.300 
029682-39-1,1.000 ,0.000 ,1.075 ,0.062 ,0.000 ,0.000 ,0.000 ,10.697 ,169.870 
029752-43-0,0.000 ,5.649 ,0.996 ,-0.135 ,2.000 ,1.000 ,0.000 ,1.915 ,278.080 
030560-19-1,1.000 ,0.000 ,0.995 ,0.092 ,0.000 ,2.000 ,1.000 ,0.576 ,140.360 
031620-87-8,1.000 ,0.540 ,1.029 ,0.352 ,0.000 ,1.000 ,0.000 ,5.054 ,177.730 
031972-43-7,1.000 ,11.404 ,0.961 ,0.100 ,0.000 ,1.000 ,1.000 ,8.757 ,288.310 
031972-44-8,1.000 ,11.517 ,0.982 ,0.415 ,0.000 ,3.000 ,1.000 ,8.013 ,291.880 
032598-11-1,0.000 ,0.837 ,1.073 ,0.188 ,0.000 ,0.000 ,0.000 ,35.867 ,264.010 
032809-16-8,1.000 ,4.174 ,1.031 ,0.260 ,0.000 ,2.000 ,0.000 ,10.500 ,249.040 
033089-61-1,3.000 ,9.899 ,0.969 ,0.579 ,0.000 ,0.000 ,0.000 ,24.001 ,380.890 
